Polarity (XLogP3), Viscosity (cP), Boiling Point (K), Surface Tension (mN/m), Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
3.9,0.377,342.039,17.89,0.256322634,1.449418169,1.087457829,0.594908469
3.9,0.377,342.039,17.89,5.133345495,1.438369165,6.716590723,0.544954522
3.9,0.377,342.039,17.89,1.542461709,1.520202132,2.745253243,0.465972089
3.9,0.377,342.039,17.89,0.31398893,1.460392178,1.095283279,0.653863145
3.9,0.377,342.039,17.89,-0.215472912,1.636599163,0.368968504,0.324213009
3.9,0.377,342.039,17.89,1.265868957,1.571940847,2.40588978,0.460724139
3.9,0.377,342.039,17.89,1.106195369,1.486719721,2.160069228,0.590719282
3.9,0.377,342.039,17.89,1.888744401,1.489407611,3.358597712,0.538404718
3.9,0.377,342.039,17.89,0.199356587,1.624870792,0.940156499,0.370362241
3.9,0.377,342.039,17.89,2.102414747,1.487252087,3.63393618,0.53373577
3.9,0.377,342.039,17.89,5.05919381,1.441091349,6.519939958,0.546368827
3.9,0.377,342.039,17.89,1.060467397,1.485388226,2.098007477,0.595865889
3.9,0.377,342.039,17.89,0.143915459,1.622681994,0.832290856,0.395141893
3.9,0.377,342.039,17.89,0.131940037,1.481790461,0.710857489,0.445317581
3.9,0.377,342.039,17.89,1.977064279,1.481361424,3.464632748,0.545882693
3.9,0.377,342.039,17.89,0.075247894,1.443348359,0.870149315,0.544662104
3.9,0.377,342.039,17.89,2.199828115,1.445211425,3.148397117,0.554593461
3.9,0.377,342.039,17.89,-0.020619085,1.432638943,0.724676031,0.687077696
3.9,0.377,342.039,17.89,6.992490893,1.494208402,9.858730808,0.528736663
3.9,0.377,342.039,17.89,0.231824624,1.611719173,0.909273173,0.413430742
3.9,0.377,342.039,17.89,-0.240684292,1.636716552,0.329329199,0.330848773
3.9,0.377,342.039,17.89,6.990265646,1.511337134,9.769141068,0.501376323
3.9,0.377,342.039,17.89,0.915316949,1.466143653,1.844941133,0.531965762
3.9,0.377,342.039,17.89,1.242267593,1.555067634,2.418455034,0.489863295
3.9,0.377,342.039,17.89,1.217120815,1.547698794,2.386729348,0.496695605
3.9,0.377,342.039,17.89,0.347814567,1.478389842,1.011493322,0.451453408
3.9,0.377,342.039,17.89,0.159204329,1.464781832,0.807733407,0.463153981
3.9,0.377,342.039,17.89,1.562565682,1.541139224,2.77720803,0.513490891
3.9,0.377,342.039,17.89,0.344078309,1.619066962,1.099473901,0.411995584
3.9,0.377,342.039,17.89,1.055554264,1.478271191,2.028944123,0.584846047
3.9,0.377,342.039,17.89,0.160852425,1.468329133,0.794508299,0.454239406
3.9,0.377,342.039,17.89,6.834483792,1.536152741,9.579371311,0.511322003
3.9,0.377,342.039,17.89,0.023121817,1.643824833,0.701298858,0.356900249
3.9,0.377,342.039,17.89,0.003860842,1.444040444,0.779670946,0.548074124
3.9,0.377,342.039,17.89,-0.2251142,1.437082117,0.480407419,0.546240189
3.9,0.377,342.039,17.89,0.062581711,1.423787743,0.789354573,0.691712634
3.9,0.377,342.039,17.89,0.202614016,1.458958727,1.05015674,0.609158321
3.9,0.377,342.039,17.89,5.463167562,1.428544557,7.1483148,0.56312303
3.9,0.377,342.039,17.89,0.340130397,1.434073422,1.163739103,0.682819301
3.9,0.377,342.039,17.89,0.273482894,1.430748034,1.120575546,0.560388373
3.9,0.377,342.039,17.89,-0.240496654,1.626932299,0.321017948,0.334502987
3.9,0.377,342.039,17.89,0.309515223,1.613632567,1.005665158,0.402658447
3.9,0.377,342.039,17.89,-0.279440727,1.454365759,0.338245354,0.662383397
3.9,0.377,342.039,17.89,0.075414329,1.625894969,0.777135483,0.414659717
3.9,0.377,342.039,17.89,0.052555653,1.624531826,0.724510472,0.333015503
3.9,0.377,342.039,17.89,3.366354464,1.429488442,4.656017934,0.561957724
3.9,0.377,342.039,17.89,2.705518609,1.424288169,3.90972982,0.555483186
3.9,0.377,342.039,17.89,-0.191639433,1.454787681,0.370932299,0.459096471
3.9,0.377,342.039,17.89,1.079139486,1.483345095,2.102387537,0.588644874
3.9,0.377,342.039,17.89,10.46399768,1.474832853,13.71988406,0.513500509
3.9,0.377,342.039,17.89,2.341352994,1.446680177,3.345941815,0.557275003
3.9,0.377,342.039,17.89,-0.045895617,1.612192984,0.621010546,0.382477419
3.9,0.377,342.039,17.89,-0.094306691,1.487500259,0.440695175,0.479786299
3.9,0.377,342.039,17.89,0.2703519,1.599395443,0.991404927,0.425138157
3.9,0.377,342.039,17.89,1.563126365,1.504724817,2.746221879,0.459637172
3.9,0.377,342.039,17.89,0.235207131,1.634258403,0.954230587,0.330300958
3.9,0.377,342.039,17.89,0.273659845,1.452350681,1.14385492,0.606012068
3.9,0.377,342.039,17.89,0.291237846,1.481330202,0.890085422,0.484555203
3.9,0.377,342.039,17.89,0.184715202,1.624091563,0.910061575,0.376973874
3.9,0.377,342.039,17.89,0.144770665,1.451533542,0.953430133,0.526568943
3.9,0.377,342.039,17.89,10.09913646,1.475186527,13.32433511,0.527513156
3.9,0.377,342.039,17.89,10.21767495,1.479859706,13.47769513,0.508090389
3.9,0.377,342.039,17.89,-0.197919705,1.49216006,0.298830857,0.483713099
3.9,0.377,342.039,17.89,0.35260327,1.424616883,1.145471689,0.685372441
3.9,0.377,342.039,17.89,9.730055843,1.497621502,12.87952615,0.496469341
3.9,0.377,342.039,17.89,3.101113351,1.443874884,4.310190662,0.55270284
3.9,0.377,342.039,17.89,5.326771749,1.436255412,6.947162497,0.550214404
3.9,0.377,342.039,17.89,0.28093061,1.617807304,0.988222574,0.407893341
3.9,0.377,342.039,17.89,2.242883392,1.42254117,3.321022051,0.570606009
3.9,0.377,342.039,17.89,0.047635411,1.449185884,0.771653016,0.659125984
3.9,0.377,342.039,17.89,2.519276421,1.415592427,3.657432518,0.574228546
3.9,0.377,342.039,17.89,2.794691785,1.438383989,3.968345364,0.593225523
3.9,0.377,342.039,17.89,-0.028267424,1.44830837,0.664622017,0.664289932
3.9,0.377,342.039,17.89,0.46608211,1.474928084,1.24725023,0.508213822
3.9,0.377,342.039,17.89,-0.174032774,1.448946441,0.558566326,0.612452602
3.9,0.377,342.039,17.89,-0.1020679,1.445454113,0.491735059,0.479503148
3.9,0.377,342.039,17.89,2.359909602,1.42209574,3.46906413,0.558720278
3.9,0.377,342.039,17.89,0.097896821,1.60785838,0.783808116,0.416225318
3.9,0.377,342.039,17.89,0.296427044,1.497728313,0.907751134,0.456445036
3.9,0.377,342.039,17.89,-0.089167763,1.490809455,0.435289623,0.471574106
3.9,0.377,342.039,17.89,-0.34172453,1.453645559,0.301799178,0.660505124
3.9,0.377,342.039,17.89,0.263539789,1.435742362,1.054920448,0.651076947
3.9,0.377,342.039,17.89,1.32731629,1.498506107,2.453641879,0.559670564
3.9,0.377,342.039,17.89,-0.208550759,1.456590299,0.339334763,0.490898665
3.9,0.377,342.039,17.89,0.436741673,1.619822405,1.181727072,0.369378994
3.9,0.377,342.039,17.89,-0.579153877,1.622842316,-0.085204813,0.330368721
3.9,0.377,342.039,17.89,0.210729506,1.427252885,0.980889307,0.66363024
3.9,0.377,342.039,17.89,0.148530677,1.445187207,0.863337283,0.66751903
3.9,0.377,342.039,17.89,-0.136334622,1.459599821,0.446078549,0.464570596
3.9,0.377,342.039,17.89,0.025870364,1.613646609,0.647527491,0.367146538
3.9,0.377,342.039,17.89,1.51753951,1.497622174,2.725672543,0.481286735
3.9,0.377,342.039,17.89,2.769877655,1.426634363,3.987364657,0.540065026
3.9,0.377,342.039,17.89,-0.177486929,1.619161105,0.405391328,0.334580671
3.9,0.377,342.039,17.89,0.256230226,1.455327339,1.078014595,0.587744568
3.9,0.377,342.039,17.89,1.361660606,1.519006672,2.528165313,0.470204095
3.9,0.377,342.039,17.89,0.217322777,1.617076676,0.903086559,0.356728407
3.9,0.377,342.039,17.89,4.907304533,1.430838264,6.415548866,0.564846206
3.9,0.377,342.039,17.89,2.523126982,1.416450869,3.663899124,0.574483409
3.9,0.377,342.039,17.89,0.033799151,1.445034557,0.765122781,0.671414117
3.9,0.377,342.039,17.89,2.165396619,1.421745793,3.207281966,0.563896095
3.9,0.377,342.039,17.89,1.858885951,1.495055901,3.347759392,0.522928414
3.9,0.377,342.039,17.89,0.05386482,1.476407655,0.601138639,0.466804555
3.9,0.377,342.039,17.89,-0.62432127,1.440190209,-0.061665879,0.670416027
3.9,0.377,342.039,17.89,2.151856857,1.443244647,3.101637978,0.560448275
3.9,0.377,342.039,17.89,6.958930997,1.508999201,9.732295328,0.492430311
3.9,0.377,342.039,17.89,0.081313059,1.619462822,0.74235159,0.357695552
3.9,0.377,342.039,17.89,-0.135887261,1.435072054,0.573477333,0.535667497
3.9,0.377,342.039,17.89,-0.201935231,1.613698527,0.39447007,0.36171901
3.9,0.377,342.039,17.89,0.193367867,1.446185426,0.970747309,0.677841063
3.9,0.377,342.039,17.89,0.201738343,1.453836074,1.022104386,0.518676575
3.9,0.377,342.039,17.89,0.23327808,1.501705459,0.835772161,0.46865479
3.9,0.377,342.039,17.89,4.912384836,1.450625489,6.386438311,0.537471131
3.9,0.377,342.039,17.89,0.373384144,1.630351408,1.131371962,0.343910265
3.9,0.377,342.039,17.89,7.051940154,1.504002978,9.829770229,0.504029349
3.9,0.377,342.039,17.89,-0.157456553,1.446259649,0.377566776,0.477482078
3.9,0.377,342.039,17.89,-0.07202353,1.630815335,0.544373349,0.336834236
3.9,0.377,342.039,17.89,-0.058222331,1.506569634,0.494980819,0.463372602
3.9,0.377,342.039,17.89,0.183292132,1.448969966,0.946969306,0.656809488
3.9,0.377,342.039,17.89,5.067772676,1.432952132,6.615058312,0.562752922
3.9,0.377,342.039,17.89,-0.280798304,1.463135191,0.451845477,0.600594335
3.9,0.377,342.039,17.89,2.518122979,1.43805682,3.659747663,0.593915878
3.9,0.377,342.039,17.89,0.647906321,1.626947228,1.44810927,0.348046043
3.9,0.377,342.039,17.89,0.114117279,1.446259981,0.878821492,0.687599404
3.9,0.377,342.039,17.89,0.340510747,1.479991157,0.989802281,0.468269317
3.9,0.377,342.039,17.89,9.745000141,1.47909615,12.8400746,0.514798459
3.9,0.377,342.039,17.89,-0.310276435,1.447510897,0.36369917,0.678608954
3.9,0.377,342.039,17.89,0.789560727,1.475950254,1.766769039,0.605338363
3.9,0.377,342.039,17.89,-0.064799,1.440048436,0.673068063,0.683153699
3.9,0.377,342.039,17.89,-0.370525889,1.626734626,0.158017096,0.33292617
3.9,0.377,342.039,17.89,4.677999486,1.437611076,6.061999972,0.551481206
3.9,0.377,342.039,17.89,4.781151987,1.45017092,6.203152736,0.5418664
3.9,0.377,342.039,17.89,0.235315499,1.458400621,1.06374023,0.523971438
3.9,0.377,342.039,17.89,-0.029037039,1.611278928,0.571601811,0.357636855
3.9,0.377,342.039,17.89,0.588809933,1.60158217,1.390688649,0.425449016
3.9,0.377,342.039,17.89,9.525332595,1.480121692,12.60642898,0.513238474
3.9,0.377,342.039,17.89,-0.139236964,1.448014387,0.553644289,0.632393215
3.9,0.377,342.039,17.89,0.145276488,1.453008058,0.96841046,0.596561938
3.9,0.377,342.039,17.89,3.420651989,1.428324476,4.7142948,0.570784669
3.9,0.377,342.039,17.89,6.890238769,1.51851063,9.636614206,0.537838532
3.9,0.377,342.039,17.89,0.156903096,1.419419541,0.923551478,0.549243611
3.9,0.377,342.039,17.89,0.367950784,1.634852975,1.107761333,0.317753407
3.9,0.377,342.039,17.89,0.340808698,1.618406394,1.059123875,0.408696176
3.9,0.377,342.039,17.89,-0.18008319,1.483389718,0.321667146,0.481274158
3.9,0.377,342.039,17.89,1.236400979,1.551979244,2.399698827,0.494409343
3.9,0.377,342.039,17.89,0.218643823,1.477663977,0.810612247,0.456520265
3.9,0.377,342.039,17.89,5.149716445,1.440684003,6.715216391,0.551914889
3.9,0.377,342.039,17.89,0.202074328,1.613076739,0.940129956,0.389565833
3.9,0.377,342.039,17.89,4.807438359,1.440331185,6.289469505,0.547835906
3.9,0.377,342.039,17.89,2.22453166,1.429518159,3.164048641,0.571777941
3.9,0.377,342.039,17.89,2.306331795,1.435991523,3.376209218,0.53780596
3.9,0.377,342.039,17.89,0.141207258,1.453341348,1.000842269,0.588608261
3.9,0.377,342.039,17.89,2.598104418,1.434572414,3.697279133,0.56154426
3.9,0.377,342.039,17.89,0.525919826,1.467029904,1.301791622,0.524817889
3.9,0.377,342.039,17.89,0.287859614,1.450803437,1.05321026,0.649251131
3.9,0.377,342.039,17.89,0.155089199,1.416980247,0.972142326,0.565915805
3.9,0.377,342.039,17.89,6.62334137,1.525989807,9.28367593,0.524935808
3.9,0.377,342.039,17.89,0.069355498,1.62190256,0.777516449,0.41249191
3.9,0.377,342.039,17.89,0.395505089,1.614546197,1.160934469,0.3889276
3.9,0.377,342.039,17.89,0.146689946,1.449136042,0.966626216,0.598646137
3.9,0.377,342.039,17.89,0.376234157,1.628290074,1.15900771,0.400039408
3.9,0.377,342.039,17.89,-0.090897225,1.486353521,0.442974461,0.436880282
3.9,0.377,342.039,17.89,4.947337858,1.428393846,6.414454383,0.564230513
3.9,0.377,342.039,17.89,9.854936082,1.480047221,13.00617482,0.513387445
3.9,0.377,342.039,17.89,0.076240431,1.458071018,0.6906364,0.487658875
3.9,0.377,342.039,17.89,6.636573329,1.523430928,9.351630098,0.488181057
3.9,0.377,342.039,17.89,0.094245609,1.619941883,0.802044735,0.3791792
3.9,0.377,342.039,17.89,0.134757094,1.61564795,0.80414472,0.363638498
3.9,0.377,342.039,17.89,-0.469866759,1.487156793,-0.020605512,0.460367358
3.9,0.377,342.039,17.89,0.021444669,1.639579235,0.723951979,0.348343252
3.9,0.377,342.039,17.89,0.00786526,1.434272309,0.776815469,0.52763618
3.9,0.377,342.039,17.89,3.405015904,1.441407023,4.727303268,0.561483697
3.9,0.377,342.039,17.89,0.215305417,1.433019617,1.005060278,0.691114034
3.9,0.377,342.039,17.89,1.883444956,1.496096702,3.325037001,0.530090683
3.9,0.377,342.039,17.89,7.037947097,1.527329034,9.825088078,0.518907381
3.9,0.377,342.039,17.89,6.962038903,1.527279684,9.701829034,0.529797867
3.9,0.377,342.039,17.89,0.276366077,1.623376769,0.96706092,0.399881092
3.9,0.377,342.039,17.89,-0.157079555,1.620965558,0.477676306,0.377072117
3.9,0.377,342.039,17.89,0.19216941,1.48279201,0.865712093,0.456329405
3.9,0.377,342.039,17.89,2.98019464,1.411292138,4.247573592,0.583596357
3.9,0.377,342.039,17.89,1.120071227,1.487132546,2.149648967,0.57511043
3.9,0.377,342.039,17.89,1.826224506,1.523813351,3.09817353,0.464669432
3.9,0.377,342.039,17.89,0.381587764,1.422824092,1.275584556,0.5424559
3.9,0.377,342.039,17.89,-0.091565803,1.430986491,0.658509644,0.544012694
3.9,0.377,342.039,17.89,0.972141062,1.559675395,2.055336439,0.480179592
3.9,0.377,342.039,17.89,0.376198175,1.473125894,1.075847175,0.45534457
3.9,0.377,342.039,17.89,-0.038956064,1.442498229,0.7178916,0.629446097
3.9,0.377,342.039,17.89,0.255756423,1.620288427,0.931523956,0.332742671
3.9,0.377,342.039,17.89,0.703810921,1.428238902,1.617459056,0.561122262
3.9,0.377,342.039,17.89,2.871806061,1.435423535,4.040297141,0.56241512
3.9,0.377,342.039,17.89,0.310044868,1.451772046,1.186174739,0.603885953
3.9,0.377,342.039,17.89,-0.162274245,1.451311996,0.535352604,0.601717552
3.9,0.377,342.039,17.89,5.432194629,1.428165273,7.050691857,0.559446637
3.9,0.377,342.039,17.89,3.199728147,1.438017388,4.453615868,0.56015922
3.9,0.377,342.039,17.89,0.202990845,1.500235893,0.799985184,0.452355245
3.9,0.377,342.039,17.89,-0.112440897,1.628591222,0.517143942,0.336969644
3.9,0.377,342.039,17.89,0.323609378,1.450378543,1.205203959,0.593917898
3.9,0.377,342.039,17.89,-0.276503788,1.437213111,0.407544178,0.524373436
3.9,0.377,342.039,17.89,0.05129125,1.626410913,0.672904473,0.407235831
3.9,0.377,342.039,17.89,1.628363446,1.49425957,3.0566812,0.523529564
3.9,0.377,342.039,17.89,1.218779048,1.494271441,2.298651452,0.574563855
3.9,0.377,342.039,17.89,0.396069153,1.626103505,1.160402468,0.34946749
3.9,0.377,342.039,17.89,-0.186535055,1.482518739,0.341256147,0.495708261
3.9,0.377,342.039,17.89,0.474593034,1.48336568,1.161698385,0.467200416
3.9,0.377,342.039,17.89,1.300889696,1.505419785,2.43955405,0.460036286
3.9,0.377,342.039,17.89,2.066917255,1.434459195,3.042514649,0.58259874
3.9,0.377,342.039,17.89,0.389668184,1.622145302,1.120802572,0.332554401
3.9,0.377,342.039,17.89,0.265485531,1.454382386,1.090864201,0.600837824
3.9,0.377,342.039,17.89,0.0020971,1.453402801,0.726201966,0.663386855
3.9,0.377,342.039,17.89,-0.144141015,1.428443454,0.533065049,0.690744118
3.9,0.377,342.039,17.89,0.286200755,1.429532501,1.135077527,0.543495928
3.9,0.377,342.039,17.89,0.170684416,1.44143024,0.940548986,0.679290885
3.9,0.377,342.039,17.89,0.954581617,1.480570014,1.956270423,0.59034995
3.9,0.377,342.039,17.89,4.930255051,1.43716211,6.480199231,0.552606799
3.9,0.377,342.039,17.89,1.686329644,1.499835537,2.919888142,0.472619813
3.9,0.377,342.039,17.89,0.606232255,1.463912204,1.433148112,0.51913639
3.9,0.377,342.039,17.89,0.136548769,1.447088135,0.929797451,0.587531815
3.9,0.377,342.039,17.89,0.496571499,1.469120806,1.290088144,0.518622136
3.9,0.377,342.039,17.89,1.174686936,1.493356252,2.228251949,0.567153262
3.9,0.377,342.039,17.89,0.145996564,1.44466439,0.924182949,0.663941586
3.9,0.377,342.039,17.89,0.372069506,1.497736106,1.031325975,0.469736745
3.9,0.377,342.039,17.89,0.304634061,1.448293285,1.044736111,0.666842885
3.9,0.377,342.039,17.89,0.311942092,1.50872846,0.971625778,0.442839423
3.9,0.377,342.039,17.89,0.374621433,1.447747218,1.071602515,0.477564275
3.9,0.377,342.039,17.89,0.61298612,1.485981981,1.405920305,0.497932444
3.9,0.377,342.039,17.89,-0.116527691,1.447834292,0.414627888,0.474168761
3.9,0.377,342.039,17.89,3.25441161,1.448955029,4.516180443,0.542561016
3.9,0.377,342.039,17.89,2.514363451,1.422327835,3.652881967,0.558913593
3.9,0.377,342.039,17.89,-0.500203989,1.649053788,0.068677668,0.356296244
3.9,0.377,342.039,17.89,0.056661693,1.449442773,0.864617079,0.601863583
3.9,0.377,342.039,17.89,-0.429726755,1.63633401,0.158729527,0.371076148
3.9,0.377,342.039,17.89,1.604622469,1.489613853,3.015096987,0.540112401
3.9,0.377,342.039,17.89,0.299460414,1.478330087,1.033321986,0.513179802
3.9,0.377,342.039,17.89,0.336000939,1.455595802,1.028510155,0.468466392
3.9,0.377,342.039,17.89,0.134363739,1.454207946,0.86861363,0.653655852
3.9,0.377,342.039,17.89,0.201935153,1.442458139,0.91389341,0.671919507
3.9,0.377,342.039,17.89,0.441276339,1.448527671,1.311204879,0.603119482
3.9,0.377,342.039,17.89,0.682160247,1.463684702,1.540731721,0.511309658
3.9,0.377,342.039,17.89,6.862919358,1.508046529,9.728954207,0.521947316
3.9,0.377,342.039,17.89,1.574392649,1.502656887,2.772905556,0.466701966
3.9,0.377,342.039,17.89,0.566245841,1.469583605,1.379195743,0.521005493
3.9,0.377,342.039,17.89,1.717266244,1.544262777,2.975159594,0.500507341
3.9,0.377,342.039,17.89,3.068885726,1.435865074,4.266805679,0.558827006
3.9,0.377,342.039,17.89,2.680147147,1.432368463,3.796540061,0.565819682
3.9,0.377,342.039,17.89,0.285333426,1.467110774,1.009053796,0.524975101
3.9,0.377,342.039,17.89,-0.232299267,1.443740764,0.372225615,0.673240465
3.9,0.377,342.039,17.89,2.555673148,1.442830048,3.602703659,0.558174269
3.9,0.377,342.039,17.89,0.543246035,1.478770371,1.360134234,0.508790282
3.9,0.377,342.039,17.89,1.810371739,1.471716942,3.246369242,0.559829627
3.9,0.377,342.039,17.89,0.34732261,1.464494543,1.088997848,0.507226519
3.9,0.377,342.039,17.89,-0.06086833,1.501162413,0.506022953,0.474699774
3.9,0.377,342.039,17.89,3.008291225,1.42646018,4.226197282,0.581528674
3.9,0.377,342.039,17.89,-0.099253803,1.443079273,0.65947508,0.547415234
3.9,0.377,342.039,17.89,-0.100259741,1.48982914,0.406341904,0.472311439
3.9,0.377,342.039,17.89,0.260358935,1.442335476,1.066948924,0.674227371
3.9,0.377,342.039,17.89,-0.075514121,1.452227718,0.600362177,0.658449456
3.9,0.377,342.039,17.89,0.445018939,1.437630064,1.327393,0.692404019
3.9,0.377,342.039,17.89,0.316635955,1.635648251,1.002307014,0.394673263
3.9,0.377,342.039,17.89,0.294886643,1.624434415,1.019033607,0.400741706
3.9,0.377,342.039,17.89,-0.141213445,1.438790609,0.577213232,0.546830036
3.9,0.377,342.039,17.89,1.672334015,1.500050793,2.911010747,0.484346813
3.9,0.377,342.039,17.89,-0.112205504,1.465069312,0.593498194,0.567602166
3.9,0.377,342.039,17.89,-0.116310349,1.475975412,0.521935679,0.496599162
3.9,0.377,342.039,17.89,0.012700525,1.449309146,0.762987275,0.610978342
3.9,0.377,342.039,17.89,1.0513269,1.470141438,2.073566082,0.59442952
3.9,0.377,342.039,17.89,-0.153485263,1.630696419,0.461311327,0.339661124
3.9,0.377,342.039,17.89,5.447971942,1.449327141,6.998350927,0.540155462
3.9,0.377,342.039,17.89,0.103411446,1.476701925,0.708405278,0.459813239
3.9,0.377,342.039,17.89,2.692648564,1.428176597,3.849850261,0.613060653
3.9,0.377,342.039,17.89,0.241058506,1.638705104,1.005636728,0.370588224
3.9,0.377,342.039,17.89,1.965512414,1.487763698,3.436341986,0.529314475
3.9,0.377,342.039,17.89,7.072059712,1.51091778,9.855173808,0.490013884
3.9,0.377,342.039,17.89,0.414749966,1.621815585,1.17816768,0.375805151
3.9,0.377,342.039,17.89,-0.0792454,1.487834443,0.484073578,0.442521511
3.9,0.377,342.039,17.89,0.102619913,1.48877934,0.774640141,0.489594835
3.9,0.377,342.039,17.89,4.867173499,1.439635984,6.4154364,0.549497505
3.9,0.377,342.039,17.89,9.753951767,1.497451435,12.87249204,0.501521253
3.9,0.377,342.039,17.89,0.120957067,1.460841733,0.871921465,0.630835855
3.9,0.377,342.039,17.89,0.081760988,1.447998357,0.877574961,0.607497025
3.9,0.377,342.039,17.89,0.079116459,1.453845355,0.894161833,0.607346335
3.9,0.377,342.039,17.89,2.540808032,1.492528826,4.202361683,0.544905982
3.9,0.377,342.039,17.89,0.26977484,1.431137087,1.104677152,0.566747513
3.9,0.377,342.039,17.89,0.545671685,1.437689571,1.435975397,0.556895369
3.9,0.377,342.039,17.89,0.388438715,1.419667983,1.242596513,0.546643603
3.9,0.377,342.039,17.89,4.606957488,1.451893797,6.085246664,0.539049665
3.9,0.377,342.039,17.89,0.129301014,1.486947058,0.69111491,0.469286126
3.9,0.377,342.039,17.89,-0.046875161,1.471489999,0.501695629,0.476890563
3.9,0.377,342.039,17.89,1.03709268,1.467265819,2.07327307,0.618968593
3.9,0.377,342.039,17.89,1.098053755,1.485649989,2.147392765,0.584049035
3.9,0.377,342.039,17.89,-0.156381359,1.445054891,0.549765431,0.670038489
3.9,0.377,342.039,17.89,-0.095272209,1.483069407,0.445231355,0.457531122
3.9,0.377,342.039,17.89,0.296745388,1.485961197,0.936376915,0.44755527
3.9,0.377,342.039,17.89,0.108387083,1.430778177,0.87876419,0.538196666
3.9,0.377,342.039,17.89,2.892758584,1.430343711,4.064989296,0.560851943
3.9,0.377,342.039,17.89,10.05801129,1.465482966,13.25614029,0.52523645
3.9,0.377,342.039,17.89,-0.082562188,1.459658635,0.671112541,0.621683563
3.9,0.377,342.039,17.89,3.105933682,1.427899482,4.34748809,0.574148292
3.9,0.377,342.039,17.89,-0.261832958,1.625942888,0.328541965,0.349895775
3.9,0.377,342.039,17.89,2.202927849,1.486147223,3.741188428,0.543631
3.9,0.377,342.039,17.89,3.571023917,1.430315849,4.925063144,0.559851901
3.9,0.377,342.039,17.89,-0.046622046,1.474809482,0.546491706,0.457321365
3.9,0.377,342.039,17.89,5.039315855,1.429557222,6.527216533,0.562783761
3.9,0.377,342.039,17.89,7.281251346,1.527422568,10.10165495,0.512996348
0.7,0.423,350.372,24,5.045230466,1.497628816,2.2646267,1.000740364
0.7,0.423,350.372,24,0.1,1.310583917,0.65,0.296771605
0.7,0.423,350.372,24,0.247506132,1.467317779,1.123052823,0.355747783
0.7,0.423,350.372,24,1.00980122,1.323665519,1.242514675,0.604567708
0.7,0.423,350.372,24,1.054735265,1.328056393,1.298894106,0.605977366
0.7,0.423,350.372,24,1.972560084,1.497385078,1.689851307,0.658469078
0.7,0.423,350.372,24,0.436421459,1.467728087,1.464898772,0.25
0.7,0.423,350.372,24,0.561263676,1.472471941,1.518924938,0.253007155
0.7,0.423,350.372,24,1.923965609,1.496069753,1.719839359,0.671549889
0.7,0.423,350.372,24,1.983086289,1.497089093,1.723633933,0.673119573
0.7,0.423,350.372,24,0.210324413,1.443732575,0.918200363,0.359128162
0.7,0.423,350.372,24,2.017320176,1.480998228,1.693874409,0.692688989
0.7,0.423,350.372,24,0.20077406,1.462085283,0.881754333,0.321681359
0.7,0.423,350.372,24,1.783708096,1.494984777,1.67234734,0.64920731
0.7,0.423,350.372,24,4.959159452,1.503858679,2.267807661,0.93942288
0.7,0.423,350.372,24,0.1,1.45431391,0.778398692,0.293550081
0.7,0.423,350.372,24,1.10557042,1.324417114,1.260916466,0.614671568
0.7,0.423,350.372,24,10,1.571780287,4.21,1.033805637
0.7,0.423,350.372,24,0.363521743,1.478994849,1.424679356,0.28206207
0.7,0.423,350.372,24,1.936581052,1.479308966,1.668275897,0.683182906
0.7,0.423,350.372,24,3.067801113,1.479217241,2.002888535,0.714223847
0.7,0.423,350.372,24,2.822496379,1.498199452,1.787382729,0.724742774
0.7,0.423,350.372,24,5.071359294,1.48270847,2.578582233,0.984863407
0.7,0.423,350.372,24,0.187168011,1.328583713,0.876433974,0.396304981
0.7,0.423,350.372,24,0.1,1.313262794,0.65,0.300743954
0.7,0.423,350.372,24,0.1,1.442969213,0.877073104,0.347422093
0.7,0.423,350.372,24,0.111419113,1.466784769,1.030804438,0.346786195
0.7,0.423,350.372,24,1.12473055,1.316985384,1.261160775,0.62419875
0.7,0.423,350.372,24,0.161807767,1.463889696,1.068376681,0.392118799
0.7,0.423,350.372,24,0.284537131,1.320710622,1.034421051,0.472139971
0.7,0.423,350.372,24,0.1,1.437725055,0.949411596,0.31501011
0.7,0.423,350.372,24,3.123959153,1.483410874,2.040379209,0.713589658
0.7,0.423,350.372,24,0.1,1.31,0.65,0.325916231
0.7,0.423,350.372,24,0.344278186,1.47106888,1.112620015,0.401735002
0.7,0.423,350.372,24,3.046536209,1.503456223,1.985393587,0.719470219
0.7,0.423,350.372,24,0.161512574,1.45808787,0.843547374,0.317023504
0.7,0.423,350.372,24,0.879331657,1.31,1.277949037,0.629793379
0.7,0.423,350.372,24,5.15822803,1.483431558,2.594585156,0.986810881
0.7,0.423,350.372,24,0.1,1.463868663,1.006055919,0.350304872
0.7,0.423,350.372,24,0.269337207,1.473396595,1.125822571,0.343341029
0.7,0.423,350.372,24,0.1,1.31,0.65,0.325853827
0.7,0.423,350.372,24,0.374460558,1.31,1.049585442,0.403971789
0.7,0.423,350.372,24,0.126749563,1.439441113,0.977250196,0.320354583
0.7,0.423,350.372,24,0.1,1.454955509,0.813190329,0.306755826
0.7,0.423,350.372,24,0.384391306,1.444858857,1.086740716,0.330295397
0.7,0.423,350.372,24,0.343855455,1.444287565,1.042803624,0.341322081
0.7,0.423,350.372,24,5.063642162,1.505930321,2.277341868,0.986184097
